"GMSL","year"
98.76,2021-08-30
100.44,2021-09-09
101.26,2021-09-19
102.1,2021-09-29
103.15,2021-10-09
104.4,2021-10-19
106.55,2021-10-29
105.13,2021-11-08
105,2021-11-18
106.16,2021-11-28
106.45,2021-12-08
106.73,2021-12-18
106.96,2021-12-28
106.33,2022-01-07
105.77,2022-01-17
104.84,2022-01-27
102.7,2022-02-06
103.29,2022-02-16
102.02,2022-02-26
102.11,2022-03-08
102.13,2022-03-18
102.16,2022-03-28
100.71,2022-04-07
102.39,2022-04-17
101.6,2022-04-27
101.45,2022-05-07
101.25,2022-05-17
102.28,2022-05-27
101.49,2022-06-06
101.21,2022-06-16
100.34,2022-06-26
99.71,2022-07-06
99.73,2022-07-16
99.17,2022-07-26
99.85,2022-08-05
100.7,2022-08-15
101.57,2022-08-25
101.09,2022-09-04
102.13,2022-09-14
103.81,2022-09-24
104.64,2022-10-04
105.47,2022-10-14
106.52,2022-10-24
107.78,2022-11-03
109.92,2022-11-13
108.5,2022-11-23
108.37,2022-12-03
109.54,2022-12-13
109.82,2022-12-23
110.1,2023-01-02
110.33,2023-01-12
109.7,2023-01-22
109.14,2023-02-01
108.21,2023-02-11
106.07,2023-02-21
106.66,2023-03-03
105.39,2023-03-13
105.49,2023-03-23
105.5,2023-04-02
105.53,2023-04-12
104.08,2023-04-22
105.77,2023-05-02
104.98,2023-05-12
104.82,2023-05-22
104.62,2023-06-01
105.65,2023-06-11
104.87,2023-06-21
104.58,2023-07-01
103.71,2023-07-11
103.09,2023-07-21
103.1,2023-07-31
102.55,2023-08-10
103.22,2023-08-20
104.08,2023-08-30
104.94,2023-09-09
104.46,2023-09-19
105.5,2023-09-29
107.19,2023-10-09
108.01,2023-10-19
108.85,2023-10-29
109.89,2023-11-08
111.15,2023-11-18
113.29,2023-11-28
111.87,2023-12-08
111.74,2023-12-18
112.91,2023-12-28
113.2,2024-01-07
113.47,2024-01-17
113.7,2024-01-27
113.08,2024-02-06
112.51,2024-02-16
111.58,2024-02-26
109.44,2024-03-07
110.03,2024-03-17
108.76,2024-03-27
108.86,2024-04-06
108.87,2024-04-16
108.91,2024-04-26
107.46,2024-05-06
109.14,2024-05-16
108.35,2024-05-26
108.2,2024-06-05
107.99,2024-06-15
109.02,2024-06-25
108.24,2024-07-05
107.95,2024-07-15
107.09,2024-07-25
106.46,2024-08-04
106.47,2024-08-14
105.92,2024-08-24
106.6,2024-09-03
107.45,2024-09-13
108.31,2024-09-23
107.84,2024-10-03
108.87,2024-10-13
110.56,2024-10-23
111.38,2024-11-02
112.22,2024-11-12
113.27,2024-11-22
114.52,2024-12-02
